# source, target, weight
0,1,1
0,2,2
0,3,2
0,4,1
0,5,1
0,6,1
1,18,1
1,3,1
1,4,2
2,0,1
2,25,1
2,20,2
2,3,1
3,20,1
3,4,2
3,38,1
3,26,2
3,5,1
3,6,2
4,20,2
4,3,2
4,24,1
4,38,2
4,26,2
5,61,2
5,62,2
5,26,1
5,6,2
5,42,1
5,44,1
5,27,1
5,45,1
6,61,2
6,62,2
6,32,1
6,33,1
6,5,2
7,3,1
7,4,2
7,8,1
8,25,1
8,20,2
8,3,2
8,4,2
8,26,1
8,27,1
9,2,1
9,8,1
10,11,1
10,12,1
10,13,1
10,14,2
10,15,2
10,16,2
11,12,1
11,14,2
11,29,1
11,10,1
11,30,1
11,31,1
11,32,1
11,33,1
12,13,1
12,34,2
12,15,1
12,35,1
12,36,1
13,11,1
13,12,1
13,14,2
14,11,2
14,25,1
14,12,1
14,13,1
14,37,1
14,10,2
14,16,1
14,8,1
15,29,1
15,34,2
15,30,2
15,36,2
16,14,2
16,10,1
16,15,2
17,18,2
17,19,1
17,20,2
17,4,1
17,21,1
17,22,1
18,19,2
18,20,2
18,3,1
18,4,2
18,16,1
18,17,1
19,0,1
19,18,1
19,4,1
19,23,2
19,22,2
20,25,2
20,14,1
20,3,2
20,4,2
20,38,1
20,17,1
20,8,1
21,18,1
21,29,1
21,52,1
21,38,1
21,30,1
22,18,1
22,1,2
22,19,1
22,24,1
23,18,1
23,19,2
23,3,1
24,4,1
24,38,2
24,53,2
25,20,2
25,3,2
25,4,2
26,3,2
26,4,1
26,61,1
26,55,1
26,5,1
26,6,1
26,27,1
27,42,2
27,67,2
27,66,2
27,44,2
27,45,2
28,13,1
28,14,1
29,52,2
29,34,2
29,30,2
29,15,2
30,21,1
30,52,1
30,34,2
30,15,2
30,36,1
31,39,1
31,60,1
31,32,2
31,33,2
31,36,1
32,60,1
32,55,1
32,62,1
32,31,1
32,33,2
32,6,1
32,36,1
33,31,1
33,32,2
33,6,1
33,42,1
33,27,1
34,12,2
34,29,1
34,30,2
34,15,2
34,36,2
35,41,2
35,43,1
35,27,1
36,56,1
36,69,1
36,35,2
36,43,1
36,27,1
36,45,1
37,13,1
37,51,1
37,54,2
37,40,2
37,15,1
37,16,1
38,3,2
38,4,2
38,24,1
38,53,1
38,26,1
38,6,1
39,40,1
39,15,1
39,31,1
39,32,2
39,33,2
39,41,1
39,35,1
39,42,1
39,43,1
39,36,1
39,44,1
39,45,1
40,37,1
40,48,1
40,51,1
40,54,2
41,68,2
41,69,2
41,35,2
41,43,1
41,27,1
41,45,1
42,67,2
42,66,2
42,44,2
42,27,2
42,45,2
43,41,1
43,35,1
43,66,1
43,36,2
43,27,1
43,45,1
44,42,2
44,65,2
44,67,2
44,66,2
44,45,2
45,64,1
45,35,1
45,42,1
45,65,1
45,67,2
45,66,2
45,44,1
45,27,2
46,24,1
46,26,1
47,48,1
47,49,2
47,50,1
47,51,1
47,52,2
47,53,1
47,40,1
47,34,1
47,30,1
48,51,2
48,54,1
48,55,1
49,47,1
49,21,1
49,29,2
49,52,1
49,38,1
49,53,1
49,15,2
49,35,1
50,53,1
50,57,2
51,48,1
51,55,1
52,21,1
52,49,1
52,29,2
52,34,1
52,30,2
52,15,2
53,24,2
53,21,1
53,50,1
53,38,1
53,57,2
53,58,2
53,27,1
54,37,1
54,48,1
54,56,1
54,40,2
55,48,1
55,61,1
55,62,1
55,31,1
55,26,1
55,32,1
55,33,1
55,5,1
55,6,1
56,28,1
56,39,1
56,54,2
56,40,2
56,31,1
57,50,1
57,53,2
57,62,1
57,26,1
57,5,2
57,6,1
57,58,1
58,53,2
58,55,1
58,62,1
58,5,1
58,6,1
58,64,1
58,36,1
59,60,2
59,31,1
60,59,1
60,55,1
60,32,2
60,33,1
61,62,2
61,26,1
61,5,2
61,6,2
61,63,2
61,27,1
62,60,1
62,26,1
62,32,1
62,33,1
62,5,1
62,6,2
62,27,1
62,45,1
63,61,1
63,62,2
63,26,1
63,6,1
63,67,2
63,27,2
63,45,1
64,35,1
64,65,1
64,66,1
64,36,1
64,27,2
64,45,2
65,67,2
65,66,1
65,44,1
65,27,1
65,45,2
66,41,1
66,42,2
66,65,1
66,67,2
66,44,1
66,27,1
66,45,2
67,42,1
67,65,2
67,66,2
67,44,1
67,27,2
67,45,2
68,69,2
68,43,2
69,68,2
69,43,2
69,67,1
